,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,
강력범죄,"8,246","2,194","1,425","1,478","1,619","2,154","2,529","3,451",347,
절도범죄,"34,281","12,677","13,753","22,936","27,673","29,609","24,797","17,105",703,
폭력범죄,"62,544","15,807","12,803","17,755","19,175","23,180","29,407","38,242",885,
지능범죄,"345,644","4,863","6,182","24,411","31,393","31,686","25,682","19,733","15,614",
풍속범죄,"13,891",848,792,"1,520","1,833","2,662","2,789","2,733",534,
특별경제범죄,"67,106","1,339","1,415","4,711","7,663","6,945","5,780","6,071","2,840",
마약범죄,"5,074",416,296,822,"1,069","1,153","1,085","1,162",303,
보건범죄,"5,630",199,79,320,369,533,594,"1,174",419,
환경범죄,"2,132",9,16,106,140,79,24,16,206,
교통범죄,"35,696","17,008","20,338","22,786","23,898","27,588","33,476","50,148",272,
노동범죄,268,5,2,9,4,7,9,17,18,
안보범죄,159,2, - ,31,12,21,12,5,17,
선거범죄,"1,013",9,48,146,128,104,68,28,55,
병역범죄,"8,551",1,14,478,438,27,29,11,674,
기타범죄,"123,487","6,745","7,597","18,902","22,252","23,390","20,620","22,470","7,135",
계,"713,722","62,122","64,760","116,411","137,666","149,138","146,901","162,366","30,022","1,583,108"
비율,0.451,0.039,0.041,0.074,0.087,0.094,0.093,0.103,0.019,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
