순번,구분,2015년,2016년,2017년,2018년,2019년,2020년,2021년,2022년,2023년,2024년,2025년 6월
,계,"26,321 ","33,013 ","40,512 ","49,222 ","58,139 ","67,281 ","74,408 ","80,005 ","86,810 ","99,758 ","104,239 "
1,종로구,935 ,"1,066 ","1,225 ","1,322 ","1,327 ","1,510 ","1,573 ","1,812 ","1,872 ","2,154","2,732"
2,중구,363 ,565 ,838 ,"1,174 ","1,242 ","1,482 ","1,911 ","2,026 ","2,157 ","2,567","2,714"
3,용산구,"1,398 ","1,689 ","1,831 ","1,888 ","1,915 ","2,058 ","2,321 ","2,531 ","2,897 ","3,202","3,218"
4,성동구,"1,089 ","1,328 ","2,103 ","2,390 ","2,833 ","3,162 ","3,519 ","3,627 ","3,871 ","4,084","4,122"
5,광진구,638 ,657 ,"1,112 ","1,586 ","2,308 ","2,481 ","3,111 ","3,370 ","3,421 ","4,370","4,479"
6,동대문구,"1,202 ","1,425 ","1,535 ","1,775 ","2,061 ","2,166 ","2,471 ","2,592 ","3,077 ","3,602","3,602"
7,중랑구,751 ,898 ,"1,047 ","1,203 ","2,250 ","3,165 ","3,592 ","3,856 ","4,163 ","5,009","5,009"
8,성북구,"1,035 ","1,534 ","1,940 ","2,542 ","3,238 ","3,440 ","3,815 ","4,014 ","4,216 ","4,479","4,764"
9,강북구,608 ,840 ,841 ,"1,159 ","1,656 ","2,337 ","2,960 ","3,184 ","3,191 ","3,430","4,168"
10,도봉구,345 ,443 ,542 ,679 ,835 ,"1,189 ","1,684 ","1,994 ","2,196 ","2,623","2,631"
11,노원구,956 ,"1,268 ","1,433 ","1,577 ","1,763 ","2,034 ","2,171 ","2,284 ","2,613 ","3,694","3,697"
12,은평구,"1,719 ","2,075 ","2,310 ","2,669 ","3,141 ","3,431 ","3,822 ","4,103 ","4,369 ","5,057","5,046"
13,서대문구,952 ,"1,179 ","1,525 ","1,764 ","2,100 ","2,499 ","2,591 ","2,928 ","3,117 ","3,438","3,658"
14,마포구,623 ,970 ,"1,328 ","1,703 ","2,011 ","2,268 ","2,372 ","2,500 ","3,015 ","3,662","3,697"
15,양천구,"1,898 ","2,026 ","2,367 ","2,655 ","2,928 ","3,136 ","3,393 ","3,627 ","4,064 ","4,464","4,464"
16,강서구,801 ,960 ,"1,164 ","1,386 ","1,858 ","2,346 ","2,637 ","3,151 ","3,397 ","3,733","4,187"
17,구로구,"1,407 ","1,719 ","2,231 ","2,819 ","3,074 ","3,455 ","3,842 ","4,013 ","4,265 ","4,909","5,070"
18,금천구,990 ,"1,090 ","1,181 ","1,563 ","1,894 ","2,247 ","2,276 ","2,498 ","2,978 ","3,252","3,372"
19,영등포구,904 ,"1,140 ","1,429 ","2,055 ","2,093 ","3,250 ","3,508 ","3,896 ","3,987 ","4,500","4,539"
20,동작구,961 ,"1,200 ","1,471 ","1,690 ","1,904 ","2,155 ","2,181 ","2,404 ","2,656 ","3,322","3,632"
21,관악구,"1,496 ","2,048 ","2,611 ","3,247 ","3,388 ","3,652 ","3,833 ","4,029 ","4,210 ","4,907","5,871"
22,서초구,"1,548 ","1,785 ","2,169 ","2,582 ","2,938 ","3,175 ","3,442 ","3,180 ","3,343 ","3,916","3,916"
23,강남구,"2,319 ","3,447 ","4,232 ","4,834 ","5,459 ","5,796 ","6,143 ","6,495 ","6,829 ","7,267","7,277"
24,송파구,713 ,798 ,913 ,"1,364 ","2,052 ","2,372 ","2,520 ","2,805 ","3,471 ","4,022","4,032"
25,강동구,670 ,863 ,"1,134 ","1,596 ","1,871 ","2,475 ","2,720 ","3,086 ","3,435 ","4,095","4,342"
※ 참고 : 자치구 전체 CCTV중 범죄예방 수사용으로 운영중인 CCTV 수량(연도별 누적),,,,,,,,,,,,
※ 서울특별시 각 자치구의 CCTV 통합관제센터에 연계된 CCTV 현황입니다. (미연계 CCTV 수량 제외),,,,,,,,,,,,
