연번,"관할
자치구",소재지,도로명 주소,시설명,시설유형,지정연도
1,종로구,부암동,홍지문2길 1,상명대학교사범대학부속초등학교,초등학교,2006
2,종로구,종로1.2.3.4가동,삼일대로 446,서울교동초등학교,초등학교,2006
3,종로구,이화동,대학로 64,서울대학교사범대학부설초등학교,초등학교,1995
4,종로구,무악동,통일로12길 23,서울독립문초등학교,초등학교,2005
5,종로구,사직동,사직로9길 19,서울매동초등학교,초등학교,2005
6,종로구,창신3동,낙산길 250,서울명신초등학교,초등학교,1995
7,종로구,부암동,세검정로9길 1,서울세검정초등학교,초등학교,2006
8,종로구,가회동,북촌로4길 7,서울재동초등학교,초등학교,2005
9,종로구,창신1동,지봉로 73,서울창신초등학교,초등학교,1995
10,종로구,청운효자동,자하문로 105,서울청운초등학교,초등학교,2005
11,종로구,혜화동,혜화로 32,서울혜화초등학교,초등학교,1995
12,종로구,종로5.6가동,대학로 12,서울효제초등학교,초등학교,1995
13,종로구,종로1.2.3.4가동,삼일대로 460,운현초등학교,초등학교,2006
14,종로구,청운효자동,필운대로1길 34,배화여자대학교 부속 배화유치원,유치원(일반),2005
15,종로구,종로5.6가동,율곡로 264,봄샘유치원,유치원(일반),2009
16,종로구,부암동,홍지문2길 1,상명사대부속유치원,유치원(일반),2010
17,종로구,부암동,자하문로 310,세검정유치원,유치원(일반),2010
18,종로구,사직동,사직로8길 9,세종유치원,유치원(일반),2009
19,종로구,청운효자동,자하문로 69,옥인유치원,유치원(일반),2007
20,종로구,종로1.2.3.4가동,삼일대로 460,운현유치원,유치원(일반),2006
21,종로구,혜화동,혜화로6가길 34,한아름유치원,유치원(일반),2013
22,종로구,혜화동,창경궁로 296,혜화유치원,유치원(일반),1997
23,종로구,창신3동,낙산길 250,서울명신초등학교병설유치원,유치원(병설),2010
24,종로구,가회동,북촌로4길 7,서울재동초등학교병설유치원,유치원(병설),2005
25,종로구,창신1동,지봉로 73,서울창신초등학교병설유치원,유치원(병설),1995
26,종로구,혜화동,혜화로 32,서울혜화초등학교병설유치원,유치원(병설),1995
27,종로구,청운효자동,옥인길 23-4,누상어린이집,어린이집,2013
28,종로구,숭인2동,숭인동길 47,도담도담어린이집,어린이집,2019
29,종로구,혜화동,성균관로13길 66,명륜어린이집,어린이집,2006
30,종로구,청운효자동,자하문로28길 8,무궁화어린이집,어린이집,2010
31,종로구,부암동,세검정로6다길 10-7,부암어린이집,어린이집,2009
32,종로구,교남동,송월1길 73-7,상록수어린이집,어린이집,2008
33,종로구,종로1.2.3.4가동,우정국로 51-4,선재어린이집,어린이집,2019
34,종로구,창신3동,지봉로13길 14,아동회관어린이집,어린이집,2012
35,종로구,종로5.6가동,대학로3길 9,연동어린이집,어린이집,2008
36,종로구,창신3동,낙산5길 33,은행나무어린이집,어린이집,2006
37,종로구,평창동,평창문화로 73-7,종로(생명)숲어린이집,어린이집,2015
38,종로구,창신2동,낙산성곽동길 69,"창신제일어린이집
(구 창이어린이집)",어린이집,2013
39,종로구,청운효자동,자하문로35길 21,청운어린이집,어린이집,2011
40,종로구,숭인2동,종로65길 10,한빛어린이집,어린이집,2012
41,종로구,청운효자동,필운대로 103,서울농학교(선희학교),특수학교,1997
42,종로구,청운효자동,필운대로 97,서울맹학교 종로캠퍼스,특수학교,1997
43,종로구,사직동,사직로7길 17,수도사랑의학교,특수학교,2007
44,종로구,평창동,비봉길 23,하비에르국제학교,외국인학교,2010
45,종로구,교북동,통일로2길 51,린덴바움유치원,유치원(일반),2025
46,중구,청구동,매봉18길 109,동산초등학교,초등학교,1998
47,중구,필동,소파로2길 7,리라초등학교,초등학교,1998
48,중구,신당동,다산로 269,서울광희초등학교,초등학교,2007
49,중구,명동,퇴계로22길 17,서울남산초등학교,초등학교,1996
50,중구,소공동,덕수궁길 140,서울덕수초등학교,초등학교,1995
51,중구,중림동,손기정로 73,서울봉래초등학교,초등학교,1996
52,중구,신당5동,난계로 141,서울신당초등학교,초등학교,1997
53,중구,다산동,청구로17길 40,서울장충초등학교,초등학교,1998
54,중구,청구동,다산로 170,서울청구초등학교,초등학교,1997
55,중구,장충동,퇴계로50길 13,서울충무초등학교,초등학교,1996
56,중구,동화동,청구로6길 11,서울흥인초등학교,초등학교,1997
57,중구,필동,소파로2길 10,숭의초등학교,초등학교,1998
58,중구,중림동,청파로 447-1,가명유치원,유치원(일반),2008
59,중구,다산동,동호로20길 24,근화유치원,유치원(일반),2008
60,중구,필동,소파로2길 7,리라유치원,유치원(일반),2010
61,중구,다산동,청구로17길 40,서울장충유치원,유치원(일반),2010
62,중구,약수동,다산로 32,수암유치원,유치원(일반),2008
63,중구,청구동,동호로10길 27,신일유치원,유치원(일반),2008
64,중구,신당5동,퇴계로88다길 5,한일유치원,유치원(일반),2008
65,중구,신당동,다산로 269,서울광희초등학교병설유치원,유치원(병설),2010
66,중구,소공동,덕수궁길 140,서울덕수초등학교병설유치원,유치원(병설),2010
67,중구,장충동,퇴계로50길 13,서울충무초등학교병설유치원,유치원(병설),2010
68,중구,장충동,장충단로 204,경동어린이집,어린이집,2021
69,중구,약수동,동호로5길 193,남산숲(신당3동)어린이집,어린이집,2007
70,중구,다산동,동호로15길 50,다산어린이집,어린이집,2007
71,중구,황학동,다산로48길 33,단우물어린이집,어린이집,2016
72,중구,동화동,다산로38길 80,동화나라(신당6동)어린이집,어린이집,2007
73,중구,황학동,퇴계로 447,미담어린이집,어린이집,2019
74,중구,소공동,서소문로11길 24 5-1번지,서울시청직장어린이집,어린이집,2006
75,중구,신당5동,퇴계로88가길 8-10,신당5동어린이집,어린이집,2007
76,중구,신당동,청구로8길 41,신당동어린이집,어린이집,2007
77,중구,약수동,다산로8길 32,약수교회어린이집,어린이집,2007
78,중구,약수동,다산로6길 15,약수어린이집,어린이집,2007
79,중구,중림동,만리재로35길 12,중림어린이집,어린이집,2018
80,중구,청구동,다산로24길 81,청구(신당4동)어린이집,어린이집,2007
81,중구,필동,퇴계로36가길 60,필동어린이집,어린이집,2017
82,중구,약수동,다산로 32,한솔어린이집,어린이집,2007
83,중구,다산동,동호로14길 11-8,햇살어린이집,어린이집,2020
84,중구,황학동,난계로15길 23,황학어린이집,어린이집,2007
85,중구,회현동,퇴계로12가길 23,회현어린이집,어린이집,2006
86,중구,명동,명동2길 35,한국한성화교소학교,외국인학교,1997
87,중구,입정동,을지로15길 32,세운어린이집,어린이집,2025
88,용산구,효창동,효창원로 137,서울금양초등학교,초등학교,1995
89,용산구,원효로1동,원효로64길 17-10,서울남정초등학교,초등학교,1996
90,용산구,후암동,두텁바위로1나길 19,서울삼광초등학교,초등학교,1998
91,용산구,서빙고동,서빙고로51길 14,서울서빙고초등학교,초등학교,1995
92,용산구,이촌1동,이촌로 255,서울신용산초등학교,초등학교,1998
93,용산구,한강로동,한강대로57길 33,서울용산초등학교,초등학교,1997
94,용산구,용산2가동,녹사평대로60길 39,서울용암초등학교,초등학교,1998
95,용산구,원효로2동,효창원로13길 38,서울원효초등학교,초등학교,1995
96,용산구,이태원2동,녹사평대로40길 19,서울이태원초등학교,초등학교,1996
97,용산구,청파동,효창원로 228,서울청파초등학교,초등학교,1997
98,용산구,한강로동,한강대로14길 9,서울한강초등학교,초등학교,1998
99,용산구,한남동,한남대로 112,서울한남초등학교,초등학교,1997
100,용산구,후암동,두텁바위로 140,서울후암초등학교,초등학교,1998
101,용산구,청파동,청파로 263,신광초등학교,초등학교,1998
102,용산구,이촌1동,이촌로84길 9-7,강변유치원,유치원(일반),2007
103,용산구,원효로2동,효창원로15길 15,계성유치원,유치원(일반),1997
104,용산구,이촌1동,이촌로81길 38,대건유치원,유치원(일반),2010
105,용산구,용문동,새창로12길 11-8,도원유치원,유치원(일반),1998
106,용산구,후암동,후암로34길 21-8,복자유치원,유치원(일반),1997
107,용산구,청파동,효창원로 228,서울청파유치원,유치원(일반),2010
108,용산구,이촌1동,이촌로81길 14,원유치원,유치원(일반),2010
109,용산구,원효로2동,효창원로 17,일민유치원,유치원(일반),2001
110,용산구,이촌1동,이촌로71길 14,충신유치원,유치원(일반),2007
111,용산구,이촌1동,이촌로89길 50,한가람유치원,유치원(일반),2010
112,용산구,원효로1동,원효로64길 17-10,서울남정초등학교병설유치원,유치원(병설),2004
113,용산구,서빙고동,서빙고로51길 14,서울서빙고초등학교병설유치원,유치원(병설),2010
114,용산구,한남동,한남대로 112,서울한남초등학교병설유치원,유치원(병설),2001
115,용산구,서빙고동,녹사평대로14길 7,동빙고어린이집,어린이집,2006
116,용산구,한남동,한남대로40길 76,맑은숲어린이집,어린이집,2018
117,용산구,이촌2동,이촌로14길 11-22,이촌어린이집,어린이집,2006
118,용산구,이태원1동,이태원로27길 34-30,이태원삼성어린이집,어린이집,2011
119,용산구,이촌1동,이촌로64길 72,충신아기학교(구 충신교회어린이집),어린이집,2006
120,용산구,한남동,대사관로5길 1,한남어린이집,어린이집,2013
121,용산구,한남동,독서당로 123-6,서울독일학교,외국인학교,2000
122,용산구,한남동,이태원로 285,서울용산국제학교,외국인학교,2006
123,성동구,성수1가1동,성수일로 34,서울경동초등학교,초등학교,1995
124,성동구,성수2가1동,뚝섬로13길 22,서울경수초등학교,초등학교,1995
125,성동구,성수1가1동,뚝섬로 332,서울경일초등학교,초등학교,1995
126,성동구,금호1가동,행당로1길 13,서울금북초등학교,초등학교,1996
127,성동구,금호4가동,독서당로 251,서울금옥초등학교,초등학교,1997
128,성동구,금호2.3가동,무수막길 69,서울금호초등학교,초등학교,1997
129,성동구,마장동,마장로29길 29,서울동명초등학교,초등학교,1995
130,성동구,옥수동,매봉길 49-35,서울동호초등학교,초등학교,2010
131,성동구,마장동,마장로35나길 31,서울마장초등학교,초등학교,1997
132,성동구,왕십리2동,무학봉15길 21,서울무학초등학교,초등학교,1997
133,성동구,사근동,사근동11길 16,서울사근초등학교,초등학교,1995
134,성동구,성수2가3동,아차산로17길 21,서울성수초등학교,초등학교,1996
135,성동구,송정동,동일로43길 9,서울송원초등학교,초등학교,2009
136,성동구,왕십리도선동,마장로 161,서울숭신초등학교,초등학교,2016
137,성동구,금호4가동,금호로1길 25,서울옥수초등학교,초등학교,1997
138,성동구,옥수동,한림말길 43,서울옥정초등학교,초등학교,1996
139,성동구,용답동,용답25길 1,서울용답초등학교,초등학교,1998
140,성동구,응봉동,독서당로62길 28,서울응봉초등학교,초등학교,2002
141,성동구,행당1동,고산자로8길 6,서울행당초등학교,초등학교,1996
142,성동구,행당2동,행당로 95,서울행현초등학교,초등학교,2005
143,성동구,사근동,살곶이길 208,한양초등학교,초등학교,2020
144,성동구,금호1가동,금호로 100,경동유치원(벽산),유치원(일반),2009
145,성동구,성수1가1동,성덕정길 23,로사유치원,유치원(일반),2010
146,성동구,성수1가1동,성수일로 34,서울경동유치원(성수),유치원(일반),2008
147,성동구,왕십리도선동,무학로10길 21,성심유치원,유치원(일반),2006
148,성동구,응봉동,독서당로 434,세성유치원,유치원(일반),2009
149,성동구,마장동,마장로42길 26,세인유치원,유치원(일반),1998
150,성동구,금호4가동,독서당로 272,아이들세상유치원,유치원(일반),2010
151,성동구,옥수동,독서당로 218,옥수삼성유치원,유치원(일반),2010
152,성동구,행당1동,고산자로2길 35,율화유치원,유치원(일반),2006
153,성동구,사근동,살곶이길 200,한양여자대학교부속유치원,유치원(일반),2010
154,성동구,성수2가1동,뚝섬로13길 22,서울경수초등학교병설유치원,유치원(병설),2010
155,성동구,마장동,마장로35나길 31,서울마장초등학교병설유치원,유치원(병설),2010
156,성동구,사근동,사근동11길 16,서울사근초등학교병설유치원,유치원(병설),2010
157,성동구,송정동,동일로43길 9,서울송원초등학교병설유치원,유치원(병설),2010
158,성동구,금호4가동,금호로1길 25,서울옥수초등학교병설유치원,유치원(병설),2010
159,성동구,옥수동,한림말길 43,서울옥정초등학교병설유치원,유치원(병설),2010
160,성동구,금호1가동,난계로 18,구립 금일어린이집,어린이집,2011
161,성동구,마장동,마장로44길 10,구립 마장어린이집,어린이집,1997
162,성동구,마장동,"청계천로 506
(성동종합사회복지관3층)",구립 성모어린이집,어린이집,2011
163,성동구,금호2.3가동,"금호로 173
(신금호파크자이 관리동)",구립 신금호자이어린이집,어린이집,2017
